wavelength,global_tilted,direct_normal
2070.0,0.06827876,0.067275636
2075.0,0.07665067,0.07552305
2080.0,0.08363635,0.082402155
2085.0,0.086337104,0.08506141
2090.0,0.088151574,0.086847775
2095.0,0.08870704,0.08739725
2100.0,0.088825114,0.08751503
2105.0,0.090530165,0.08918942
2110.0,0.09078508,0.08943538
2115.0,0.090186745,0.08884331
2120.0,0.08892479,0.08759677
2125.0,0.08878868,0.087457284
2130.0,0.08953562,0.08818654
2135.0,0.09008532,0.08872207
2140.0,0.09007982,0.088715054
2145.0,0.08852377,0.08718621
2150.0,0.08598804,0.08469462
2155.0,0.08452425,0.08325663
2160.0,0.0824328,0.08120067
2165.0,0.079876065,0.0786863
2170.0,0.08035111,0.0791571
2175.0,0.08083851,0.079640515
2180.0,0.07970138,0.078524284
2185.0,0.077623025,0.07648147
2190.0,0.07783522,0.076692484
2195.0,0.0769065,0.07578232
2200.0,0.07416798,0.07309408
2205.0,0.0748172,0.07374078
2210.0,0.07706606,0.07596141
2215.0,0.077234015,0.07613472
2220.0,0.076835476,0.075751245
2225.0,0.07605448,0.074992694
2230.0,0.0753271,0.07428866
2235.0,0.074301034,0.073291756
2240.0,0.07290031,0.07192729
2245.0,0.071641736,0.070709
2250.0,0.07056775,0.06967868
2255.0,0.068616666,0.067780726
2260.0,0.06747888,0.06668284
2265.0,0.066953115,0.06618335
2270.0,0.06553954,0.06480012
2275.0,0.06484727,0.06412392
2280.0,0.0648674,0.064148836
2285.0,0.06383839,0.063138016
2290.0,0.06268602,0.06200463
2295.0,0.061149664,0.060489397
2300.0,0.059759263,0.0591188
2305.0,0.060221516,0.0595803
2310.0,0.060915723,0.060269028
2315.0,0.058024652,0.057412654
2320.0,0.05494891,0.054373484
2325.0,0.05548084,0.05490079
2330.0,0.0564823,0.055892568
2335.0,0.054584663,0.054017056
2340.0,0.050199274,0.049680945
2345.0,0.047858026,0.047366325
2350.0,0.04565101,0.045184765
2355.0,0.046883184,0.04640503
2360.0,0.04856322,0.048068766
2365.0,0.045012016,0.04455749
2370.0,0.03924421,0.038852178
2375.0,0.040404268,0.040001117
2380.0,0.039672904,0.039278686
2385.0,0.035745777,0.035394754
2390.0,0.03682153,0.036462907
2395.0,0.040114064,0.039725456
2400.0,0.040298853,0.039913237
2405.0,0.036144458,0.035806034
2410.0,0.032330174,0.032034803
2415.0,0.02904923,0.028790472
2420.0,0.029031869,0.028780792
2425.0,0.033683464,0.033400495
2430.0,0.03454147,0.034257784
2435.0,0.029356703,0.02912739
2440.0,0.030470815,0.030245475
2445.0,0.02436207,0.024190823
2450.0,0.019400256,0.019272933
2455.0,0.024080914,0.023929048
2460.0,0.028104717,0.027932707
2465.0,0.024339586,0.024196995
2470.0,0.018636493,0.018532813
2475.0,0.014453497,0.014376599
2480.0,0.009577736,0.009529109
2485.0,0.0059375754,0.0059091984
2490.0,0.0041026943,0.0040840977
2495.0,0.0040540523,0.0040361304
2500.0,0.0045245234,0.004504487
2505.0,0.0029964573,0.0029831347
2510.0,0.0017406226,0.0017328126
2515.0,0.00090354646,0.0008994469
2520.0,0.0003721436,0.00037042054
2525.0,0.00012389741,0.00012331366
2530.0,2.1442349e-05,2.1340264e-05
2535.0,1.8790244e-06,1.8699556e-06
2540.0,2.7758443e-07,2.7617676e-07
2545.0,9.4658816e-08,9.417066e-08
2550.0,1.1496879e-08,1.1437372e-08
2555.0,8.4635804e-10,8.4178775e-10
2560.0,2.6241306e-10,2.6095295e-10
2565.0,3.793317e-11,3.772101e-11
2570.0,1.8717447e-12,1.8611725e-12
2575.0,3.6406174e-14,3.6198102e-14
2580.0,2.5162053e-16,2.5016324e-16
2585.0,5.572162e-19,5.5389306e-19
2590.0,4.5840523e-22,4.5549864e-22
2595.0,5.0701333e-25,5.033911e-25
2600.0,2.9747573e-27,2.9527736e-27
2605.0,2.7785958e-27,2.7566663e-27
2610.0,5.4640865e-24,5.4209638e-24
2615.0,2.7988381e-21,2.7767496e-21
2620.0,3.588829e-19,3.560506e-19
2625.0,1.1565107e-17,1.1473832e-17
2630.0,9.5108744e-17,9.435807e-17
2635.0,2.1093934e-16,2.0927398e-16
2640.0,1.4706583e-16,1.4590397e-16
2645.0,3.95095e-17,3.9197135e-17
2650.0,4.0860237e-18,4.053749e-18
2655.0,1.7058509e-19,1.6924949e-19
2660.0,5.8699503e-21,5.8248556e-21
2665.0,1.3930342e-22,1.3824006e-22
2670.0,1.0456243e-24,1.0376528e-24
2675.0,2.2465328e-27,2.229501e-27
2680.0,3.146472e-30,3.1241318e-30
2685.0,2.4056464e-30,2.394345e-30
2690.0,4.805553e-30,4.783e-30
2695.0,2.6868594e-30,2.6755286e-30
2700.0,5.0036066e-29,5.0062897e-29
2705.0,1.4861434e-26,1.4899892e-26
2710.0,5.0312562e-24,5.0466895e-24
2715.0,5.7865393e-22,5.804897e-22
2720.0,1.8006249e-20,1.806389e-20
2725.0,1.43143e-19,1.436024e-19
2730.0,2.8673895e-19,2.8766074e-19
2735.0,1.4523925e-19,1.4570823e-19
2740.0,1.9122761e-20,1.91855e-20
2745.0,7.2450217e-22,7.270118e-22
2750.0,1.2476205e-23,1.2529878e-23
2755.0,4.4158116e-25,4.4413387e-25
2760.0,2.5959573e-25,2.6184512e-25
2765.0,3.6767497e-24,3.71161e-24
2770.0,8.925359e-22,9.017074e-22
2775.0,1.373229e-19,1.3875075e-19
2780.0,1.5723262e-17,1.5893271e-17
2785.0,1.5576007e-15,1.574683e-15
2790.0,5.1484448e-14,5.2051157e-14
2795.0,7.604835e-13,7.6902086e-13
2800.0,1.2867373e-11,1.3014769e-11
2805.0,1.046661e-10,1.0586937e-10
2810.0,4.464882e-10,4.517003e-10
2815.0,8.981094e-09,9.088e-09
2820.0,1.5595518e-07,1.5781809e-07
2825.0,9.993225e-07,1.0112781e-06
2830.0,1.916663e-06,1.9396186e-06
2835.0,2.1597e-06,2.1859566e-06
2840.0,9.770791e-06,9.89091e-06
2845.0,1.9417721e-05,1.9656522e-05
2850.0,1.1082063e-05,1.1218522e-05
2855.0,1.2558607e-05,1.2715482e-05
2860.0,5.20026e-05,5.2655643e-05
2865.0,9.792044e-05,9.915221e-05
2870.0,0.00014274936,0.00014454646
2875.0,0.00026198043,0.00026528302
2880.0,0.00032285028,0.00032693145
2885.0,0.00040520538,0.0004103428
2890.0,0.0008512399,0.00086206355
2895.0,0.001505102,0.0015242482
2900.0,0.001119951,0.0011341923
2905.0,0.0009999879,0.0010127018
2910.0,0.0017123983,0.0017341903
2915.0,0.0019513845,0.0019762414
2920.0,0.0021684617,0.0021960582
2925.0,0.0028026167,0.0028382456
2930.0,0.004678739,0.004738138
2935.0,0.0048949523,0.0049570086
2940.0,0.002958416,0.00299589
2945.0,0.0025593077,0.0025916647
2950.0,0.0035399941,0.003584638
2955.0,0.0036674896,0.0037136571
2960.0,0.0046207993,0.0046788813
2965.0,0.0047558793,0.00481562
2970.0,0.0022958755,0.0023247001
2975.0,0.001234751,0.001250197
2980.0,0.0027874163,0.00282213
2985.0,0.006157362,0.0062338025
2990.0,0.0077412613,0.00783713
2995.0,0.0065624416,0.0066436725
3000.0,0.005883323,0.0059560337
3005.0,0.0051077604,0.0051706512
3010.0,0.005460031,0.0055270744
3015.0,0.0046844026,0.0047418517
3020.0,0.003748898,0.0037947607
3025.0,0.005344634,0.0054098493
3030.0,0.00528971,0.0053541083
3035.0,0.003421285,0.0034628564
3040.0,0.0027419971,0.0027752207
3045.0,0.0027881223,0.0028218527
3050.0,0.0017907335,0.001812355
3055.0,0.0020708172,0.0020955277
3060.0,0.0038025952,0.003847784
3065.0,0.0034478032,0.0034886894
3070.0,0.0032129623,0.0032508527
3075.0,0.0042355745,0.004285265
3080.0,0.0036554562,0.0036981518
3085.0,0.0024415688,0.0024699308
3090.0,0.0019289742,0.0019512718
3095.0,0.0019834992,0.0020062798
3100.0,0.00253603,0.0025650247
3105.0,0.001762134,0.0017822097
3110.0,0.0015671807,0.0015848523
3115.0,0.0036954274,0.0037368112
3120.0,0.006061813,0.006129482
3125.0,0.0054885442,0.0055493945
3130.0,0.006496779,0.0065680537
3135.0,0.0077097747,0.007794021
3140.0,0.005386446,0.00544511
3145.0,0.004390998,0.004438356
3150.0,0.005614689,0.005674687
3155.0,0.0069050184,0.006978248
3160.0,0.009527193,0.009627302
3165.0,0.01214415,0.0122706145
3170.0,0.011934302,0.012057686
3175.0,0.01043072,0.010538065
3180.0,0.009562148,0.009660147
3185.0,0.0076483726,0.0077263163
3190.0,0.0048551653,0.0049043586
3195.0,0.0026196062,0.0026459927
3200.0,0.001047488,0.0010579822
3205.0,0.00037955647,0.00038332885
3210.0,0.00031642124,0.00031952385
3215.0,0.00065929367,0.0006657042
3220.0,0.00094026804,0.00094938366
3225.0,0.0007835693,0.00079107814
3230.0,0.002078187,0.0020977475
3235.0,0.004417367,0.0044588656
3240.0,0.0037410716,0.0037761952
3245.0,0.002344234,0.0023660897
3250.0,0.0038856922,0.0039214906
3255.0,0.0056658494,0.0057178717
3260.0,0.003602334,0.0036352752
3265.0,0.0021938584,0.002213529
3270.0,0.0026783287,0.0027012993
3275.0,0.0041504623,0.004185403
3280.0,0.005647112,0.0056950683
3285.0,0.008169135,0.008238665
3290.0,0.007159625,0.0072203064
3295.0,0.0034979188,0.0035274469
3300.0,0.002431377,0.002451818
3305.0,0.0032354016,0.003262551
3310.0,0.0028308944,0.0028546704
3315.0,0.0011681337,0.001177965
3320.0,0.0011223746,0.0011319069
3325.0,0.0030352592,0.003061111
3330.0,0.0052527585,0.005297629
3335.0,0.006382233,0.0064369664
3340.0,0.0049660592,0.005009141
3345.0,0.00474322,0.0047853123
3350.0,0.0057254704,0.0057770126
3355.0,0.0051435004,0.0051906244
3360.0,0.005365319,0.0054155844
3365.0,0.0059003658,0.0059564756
3370.0,0.00583917,0.005895611
3375.0,0.0065424223,0.0066065765
3380.0,0.0065663722,0.006631644
3385.0,0.007576744,0.007653066
3390.0,0.009159466,0.009252587
3395.0,0.010098686,0.010202249
3400.0,0.009675972,0.009775838
3405.0,0.0072105112,0.0072855996
3410.0,0.0068539833,0.0069260914
3415.0,0.008617359,0.008708544
3420.0,0.010720786,0.010834538
3425.0,0.010399446,0.010509603
3430.0,0.00978436,0.009887292
3435.0,0.010002873,0.010107114
3440.0,0.009745053,0.009845826
3445.0,0.010425399,0.010532442
3450.0,0.010471805,0.010578912
3455.0,0.010104285,0.010207249
3460.0,0.010850832,0.010960671
3465.0,0.011020621,0.011131193
3470.0,0.011352735,0.011465689
3475.0,0.01132097,0.011432986
3480.0,0.01136891,0.011480874
3485.0,0.0114674885,0.011579559
3490.0,0.011315329,0.011425037
3495.0,0.011730066,0.01184324
3500.0,0.01193051,0.0120455315
3505.0,0.011873684,0.011987722
3510.0,0.01181977,0.011931143
3515.0,0.011758992,0.011865368
3520.0,0.011774881,0.011876632
3525.0,0.011462614,0.011558222
3530.0,0.010771712,0.0108591635
3535.0,0.009812349,0.009890209
3540.0,0.00935905,0.009431606
3545.0,0.009642354,0.009715353
3550.0,0.00991938,0.009993029
3555.0,0.009879785,0.009951876
3560.0,0.010317399,0.010391345
3565.0,0.010129221,0.010200776
3570.0,0.009127831,0.009191015
3575.0,0.009017488,0.009078578
3580.0,0.009509451,0.009573101
3585.0,0.009473298,0.009536251
3590.0,0.00948187,0.009544257
3595.0,0.009763661,0.009827165
